Account,User Name,Followers at Posting,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Views,URL,Description
badgalriri,badgalriri,143077113,15/02/2023,12:50:38,Photo,11604050,11509465,94585,0,https://www.instagram.com/p/CosSoekv1Im/,my perfect baby!!! @britishvogue @inezandvinoodh
badgalriri,badgalriri,143077113,15/02/2023,12:00:57,Photo,11465440,11403774,61666,0,https://www.instagram.com/p/CosM8iwrEp9/,"🥰 @britishvogue march 2023 issue

Photographed by @InezAndVinoodh and styled by @Edward_Enninful, with @asaprocky and baby’s stylist @Henson, words by @GilesHattersley, hair by @YusefHairNYC, haircare by @NaphiisBeautifulHair, make-up by #KanakoTakase using @fentybeauty, nails by @KimmieKyees, Vogue entertainment director-at-large @JillDemling, set design by @JillCNicholls and production by @Brachfeld_, with thanks to @theledecompany, Vivi Nevo and Bert Hedaya."
Georgina Rodríguez,georginagio,46167322,12/02/2023,07:05:00,Photo,10943711,10901488,42223,0,https://www.instagram.com/p/Coj8sa1Mb-w/,"Bella Esmeralda.
Esa mirada tan fuerte y delicada que te ha dado Dios…🥹💘 
Os amo."
J,jennierubyjane,74429025,16/02/2023,03:06:08,Album,10677214,10554572,122642,0,https://www.instagram.com/p/Cot0iZcOxOv/,Back on Houston Street with @calvinklein 😉
Jenna Ortega,jennaortega,39580849,27/02/2023,00:49:01,Photo,10379112,10339951,39161,0,https://www.instagram.com/p/CpJ5lrUOBmb/,"Thanks so much to @sagawards for a beautiful night! And a massive thank you to my wonderful team + @tiffanyandco + @versace. It has been an honor, you all are too good to me #tiffanyandco"
Cristiano Ronaldo,cristiano,547922716,16/02/2023,12:01:00,Photo,10335061,10286035,49026,0,https://www.instagram.com/p/Couxv09tjXg/,"A perfume you can count on to always be at your best.
#CR7 #PLAYFECTIONISM #CR7FRAGRANCES  #FRAGRANCES #CR7ORIGINS"
Selena Gomez,selenagomez,379884728,21/02/2023,08:59:09,Photo,10024594,9939590,85004,0,https://www.instagram.com/p/Co7U6P-LLZ2/,I liked my hair back then.. should I do it again?
KAROL G,karolg,58810204,13/02/2023,08:48:20,Album,9739624,9677267,62357,15466414,https://www.instagram.com/p/ComtUDjrPAD/,"Como Fan, tengo que decir que este fue el HIGHLIGHT de mi vida entera!!! 🖤 Espero que cuando ustedes conozcan a sus ídolos, ellos sean tan increíbles como ella lo fue conmigo. TE AMO @badgalriri ⭐️✨ #FueunaChimba"
Kylian Mbappé,k.mbappe,98714546,27/02/2023,17:23:36,Album,9693519,9638886,54633,0,https://www.instagram.com/p/CpLraSgMlXG/,"Another trophy at home. 🫡🏆
Big congratulations to @leomessi you are #TheBest 👑"
Cristiano Ronaldo,cristiano,548241939,17/02/2023,14:11:13,Album,9514494,9441058,73436,0,https://www.instagram.com/p/CoxlcZ_LGHm/,Top of the league and 3 Important points! Great team work!💪🏼👏🏼
